,previousIdentification,scientificName,observation
322,Remiz pendulinus,Remiz pendulinus,Ok (IOC World Bird List)
323,Riparia riparia,Riparia riparia,Ok (IOC World Bird List)
324,Saxicola rubetra,Saxicola rubetra,Ok (IOC World Bird List)
325,Saxicola rubicola,Saxicola rubicola,Ok (IOC World Bird List)
326,Saxicola torquata,Saxicola torquatus,Updated according to IOC World Bird List
327,Saxicola torquatus,Saxicola torquatus,Ok (IOC World Bird List)
328,Scolopax rusticola,Scolopax rusticola,Ok (IOC World Bird List)
329,Serinus canaria,Serinus canaria,Ok (IOC World Bird List)
330,Serinus serinus,Serinus serinus,Ok (IOC World Bird List)
331,Sitta eroupaea,Sitta europaea,Updated according to IOC World Bird List
332,Sitta europaea,Sitta europaea,Ok (IOC World Bird List)
333,Sitta europea,Sitta europaea,Updated according to IOC World Bird List
334,Spatula clypeata,Spatula clypeata,Ok (IOC World Bird List)
335,Spatula querquedula,Spatula querquedula,Ok (IOC World Bird List)
336,Spinus spinus,Spinus spinus,Ok (IOC World Bird List)
337,Stercorarius parasiticus,Stercorarius parasiticus,Ok (IOC World Bird List)
338,Stercorarius pomarinus,Stercorarius pomarinus,Ok (IOC World Bird List)
339,Sterna caspia,Sterna caspia,Ok (BirdLife International)
340,Sterna caspica,Sterna caspia,Updated according to BirdLife International
341,Sterna hirundo,Sterna hirundo,Ok (IOC World Bird List)
342,Sternula albifrons,Sternula albifrons,Ok (IOC World Bird List)
343,Streptopelia decaocto,Streptopelia decaocto,Ok (IOC World Bird List)
344,Streptopelia turtur,Streptopelia turtur,Ok (IOC World Bird List)
345,Strix aluco,Strix aluco,Ok (IOC World Bird List)
346,Strunus vulgaris,Sturnus vulgaris,Updated according to IOC World Bird List
347,Strurnus vulgaris,Sturnus vulgaris,Updated according to IOC World Bird List
348,Sturnus vulgaris,Sturnus vulgaris,Ok (IOC World Bird List)
349,Svivia borin,NA,NOT FOUND in IOC World Bird List or BirdLife International
350,Sylvia atricapilla,Sylvia atricapilla,Ok (IOC World Bird List)
351,Sylvia borin,Sylvia borin,Ok (IOC World Bird List)
352,Sylvia communis,Sylvia communis,Ok (BirdLife International)
353,Sylvia curruca,Sylvia curruca,Ok (BirdLife International)
354,Sylvia nisoria,Sylvia nisoria,Ok (BirdLife International)
355,Sylvia nissoria,Sylvia nisoria,Updated according to BirdLife International
356,Tadorna ferruginea,Tadorna ferruginea,Ok (IOC World Bird List)
357,Tadorna tadorna,Tadorna tadorna,Ok (IOC World Bird List)
358,Tachybaptus ruficollis,Tachybaptus ruficollis,Ok (IOC World Bird List)
359,Tatrastes bonasia,Tetrastes bonasia,Updated according to IOC World Bird List
360,Tetrao tetrix,Tetrao tetrix,Ok (BirdLife International)
361,Tetrao urogallus,Tetrao urogallus,Ok (IOC World Bird List)
